ohara_label,column,printed,value,source,table,printed_column,page,archive_item,pdf_page_index,note
ML,n_Hy,16.92,16.92,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Ol,...,,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Il,3.95,3.95,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Mt,4.41,4.41,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Ap,0.51,0.51,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Rest,0.02,0.02,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_total,100.22,100.22,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
E1,SiO2,47.11,47.11,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,Al2O3,14.04,14.04,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,Fe2O3,2.73,2.73,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,FeO,12.47,12.47,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,MnO,0.16,0.16,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,MgO,5.47,5.47,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,CaO,10.06,10.06,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,Na2O,2.84,2.84,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,K2O,0.77,0.77,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,H2O+,0.11,0.11,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,H2O-,0.16,0.16,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,TiO2,4.27,4.27,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,P2O5,0.11,0.11,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,Cr2O3,...,,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,S,...,,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,F,...,,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
